JT,IF,ISSN
EUR J PREV CARDIOL,7.804,2047-4873
ACTA NEUROPATHOL COM,7.801,2051-5960
NUTR RES REV,7.8,0954-4224
CLIN NUCL MED,7.794,0363-9762
CIRC-CARDIOVASC IMAG,7.792,1941-9651
NANOSCALE,7.79,2040-3364
METHODS ECOL EVOL,7.781,2041-210X
BIOINORG CHEM APPL,7.778,1565-3633
GLOB FOOD SECUR-AGR,7.772,2211-9124
STEM CELL REP,7.765,2213-6711
PATTERN RECOGN,7.74,0031-3203
MED J AUSTRALIA,7.738,0025-729X
SEMIN CELL DEV BIOL,7.727,1084-9521
PSYCHOL MED,7.723,0033-2917
GEROSCIENCE,7.713,2509-2715
ACS SENSORS,7.711,2379-3694
AUTOMAT CONSTR,7.7,0926-5805
GENOM PROTEOM BIOINF,7.691,1672-0229
IEEE T EMERG TOP COM,7.691,2168-6750
COMPOS PART A-APPL S,7.664,1359-835X
FLUIDS BARRIERS CNS,7.662,2045-8118
OBSTET GYNECOL,7.661,0029-7844
PHARMACOL RES,7.658,1043-6618
ENVIRON SCI TECH LET,7.653,2328-8930
ACTA CRYSTALLOGR D,7.652,2059-7983
BRIT J CANCER,7.64,0007-0920
CYTOKINE GROWTH F R,7.638,1359-6101
COMPUT IND,7.635,0166-3615
CRIT REV MICROBIOL,7.624,1040-841X
NEUROTHERAPEUTICS,7.62,1933-7213
MAYO CLIN PROC,7.616,0025-6196
SOIL BIOL BIOCHEM,7.609,0038-0717
M&SOM-MANUF SERV OP,7.6,1523-4614
CRIT CARE MED,7.598,0090-3493
PERIODONTOL 2000,7.589,0906-6713
SUSTAIN CITIES SOC,7.587,2210-6707
CEMENT CONCRETE COMP,7.586,0958-9465
RHEUMATOLOGY,7.58,1462-0324
MATER TODAY ADV,7.579,2590-0498
REV ENVIRON CONTAM T,7.563,0179-5953
FRONT IMMUNOL,7.561,1664-3224
DIGEST ENDOSC,7.559,0915-5635
INFORM MANAGE-AMSTER,7.555,0378-7206
ENGINEERING-PRC,7.553,2095-8099
TOB CONTROL,7.552,0964-4563
J MANUF TECHNOL MANA,7.547,1741-038X
ACS PHOTONICS,7.529,2330-4022
J GASTROENTEROL,7.527,0944-1174
NEUROSCIENTIST,7.519,1073-8584
FOOD CHEM,7.514,0308-8146
MOL AUTISM,7.509,2040-2392
EPILEPSY CURR,7.5,1535-7597
EARTHS FUTURE,7.495,****-****
ULTRASON SONOCHEM,7.491,1350-4177
CURR OPIN IMMUNOL,7.486,0952-7915
ONCOGENESIS,7.485,2157-9024
EUR UROL ONCOL,7.479,****-****
SENSOR ACTUAT B-CHEM,7.46,****-****
GLIA,7.452,0894-1491
J UROLOGY,7.45,0022-5347
J MED CHEM,7.446,0022-2623
NEUROPSYCHOL REV,7.444,1040-7308
BMC BIOL,7.431,****-****
ADV ECOL RES,7.429,0065-2504
MOL METAB,7.422,2212-8778
ASTROPHYS J LETT,7.413,2041-8205
INT J COMPUT VISION,7.41,0920-5691
AM J CLIN DERMATOL,7.403,1175-0561
IMMUNOLOGY,7.397,0019-2805
INT J CANCER,7.396,0020-7136
J MATER CHEM C,7.393,2050-7526
JAMA OPHTHALMOL,7.389,2168-6165
NPJ QUANTUM INFORM,7.385,****-****
WIRES CLIM CHANGE,7.385,1757-7780
FREE RADICAL BIO MED,7.376,0891-5849
GASTRIC CANCER,7.37,1436-3291
CURR NEUROPHARMACOL,7.363,1570-159X
INFLAMM REGEN,7.354,****-****
J INNATE IMMUN,7.349,1662-811X
MATER TODAY BIO,7.348,2590-0064
NPJ VACCINES,7.344,****-****
ADV GEOPHYS,7.333,0065-2687
FERTIL STERIL,7.329,0015-0282
IEEE T DEPEND SECURE,7.329,1545-5971
MAT SCI ENG C-MATER,7.328,0928-4931
IMPLEMENT SCI,7.327,1748-5908
CLIN NUTR,7.324,0261-5614
MATER RES LETT,7.323,2166-3831
MUCOSAL IMMUNOL,7.313,1933-0219
SEP PURIF TECHNOL,7.312,1383-5866
MATER TODAY ENERGY,7.311,2468-6069
ARCH COMPUT METHOD E,7.302,1134-3060
ULTRASOUND OBST GYN,7.299,0960-7692
ADV ELECTRON MATER,7.295,2199-160X
HEPATOBIL SURG NUTR,7.293,2304-3881
NPJ BIOFILMS MICROBI,7.29,****-****
APPL MECH REV,7.281,0003-6900
J HEADACHE PAIN,7.277,1129-2369
COMPUT STRUCT BIOTEC,7.271,2001-0370
CURR OPIN ELECTROCHE,7.271,2451-9103
SOL ENERG MAT SOL C,7.267,0927-0248
WIRES DATA MIN KNOWL,7.25,1942-4787
PLANT CELL ENVIRON,7.228,0140-7791
FISH FISH,7.218,1467-2960
BRAIN BEHAV IMMUN,7.217,0889-1591
CORROS SCI,7.205,0010-938X
MOL THER-ONCOLYTICS,7.2,2372-7705
MIS QUART,7.198,0276-7783
INT J EPIDEMIOL,7.196,0300-5771
FUTURE GENER COMP SY,7.187,0167-739X
J SPORT HEALTH SCI,7.179,2095-2546
IEEE T INF FOREN SEC,7.178,1556-6013
SWARM EVOL COMPUT,7.177,2210-6502
MICROBIOL SPECTR,7.171,2165-0497
CLIN PSYCHOL SCI,7.169,2167-7026
THER ADV HEMATOL,7.167,2040-6207
EMERG MICROBES INFEC,7.163,****-****
ENERGY,7.147,0360-5442
WASTE MANAGE,7.145,0956-053X
GLOBAL ECOL BIOGEOGR,7.144,1466-822X
AMYLOID,7.141,1350-6129
INT J ROCK MECH MIN,7.135,1365-1609
INT J WEB GRID SERV,7.135,1741-1106
CELL BIOSCI,7.133,****-****
J CO2 UTIL,7.132,2212-9820
MICROSYST NANOENG,7.127,2055-7434
PEDIATRICS,7.124,0031-4005
CURR ENV HLTH REP,7.122,****-****
EUR UROL SUPPL,7.122,1569-9056
NUTR REV,7.11,0029-6643
J AMB INTEL HUM COMP,7.104,1868-5137
2D MATER,7.103,2053-1583
GENES DIS,7.103,2352-4820
J AUTOIMMUN,7.094,0896-8411
BATTERIES SUPERCAPS,7.093,****-****
CURR OPIN VIROL,7.09,1879-6257
MOL ECOL RESOUR,7.09,1755-098X
CHEMOSPHERE,7.086,0045-6535
OMEGA-INT J MANAGE S,7.084,0305-0483
INT J PLASTICITY,7.081,0749-6419
PHOTONICS RES,7.08,2327-9125
EUR J VASC ENDOVASC,7.069,1078-5884
J INTEGR PLANT BIOL,7.061,1672-9072
SUSTAIN MATER TECHNO,7.053,2214-9937
AM J CLIN NUTR,7.045,0002-9165
PROD PLAN CONTROL,7.044,0953-7287
INT J RADIAT ONCOL,7.038,0360-3016
BMJ QUAL SAF,7.035,2044-5415
FUEL PROCESS TECHNOL,7.033,0378-3820
NPJ QUANTUM MATER,7.032,****-****
J HEPATO-BIL-PAN SCI,7.027,1868-6974
IEEE T WIREL COMMUN,7.016,1536-1276
TRANSL RES,7.012,1931-5244
J PHYSIOTHER,7,1836-9553
BRIT J HAEMATOL,6.998,0007-1048
J PERIODONTOL,6.993,0022-3492
J EXP BOT,6.992,0022-0957
REV MED VIROL,6.989,1052-9276
BIOMACROMOLECULES,6.988,1525-7797
J PROD INNOVAT MANAG,6.987,0737-6782
ANAL CHEM,6.986,0003-2700
CURR OPIN ENV SUST,6.984,1877-3435
ALZHEIMERS RES THER,6.982,****-****
IEEE T KNOWL DATA EN,6.977,1041-4347
J OPER MANAG,6.97,0272-6963
CANCER IMMUNOL IMMUN,6.968,0340-7004
J STROKE,6.967,2287-6391
PAIN,6.961,0304-3959
ANAESTHESIA,6.955,0003-2409
EXPERT SYST APPL,6.954,0957-4174
INT J BIOL MACROMOL,6.953,0141-8130
J IND ECOL,6.946,1088-1980
STEM CELL TRANSL MED,6.94,2157-6564
BRIT J SURG,6.939,0007-1323
BIOINFORMATICS,6.937,1367-4803
RUSS CHEM REV+,6.926,0036-021X
ANN INTENSIVE CARE,6.925,2110-5820
NPJ BREAST CANCER,6.923,****-****
J INFLAMM RES,6.922,****-****
ADV AGRON,6.919,0065-2113
CURR OBES REP,6.919,2162-4968
HUM REPROD,6.918,0268-1161
ADV PHYS-X,6.917,2374-6149
CSH PERSPECT MED,6.915,2157-1422
AM J RESP CELL MOL,6.914,1044-1549
VEH COMMUN,6.91,2214-2096
ACS MACRO LETT,6.903,****-****
EXPERT OPIN THER TAR,6.902,1472-8222
ELECTROCHIM ACTA,6.901,0013-4686
ACAD MED,6.893,1040-2446
EPIDEMIOL PSYCH SCI,6.892,2045-7960
EMERG INFECT DIS,6.883,1080-6040
CLIN PHARMACOL THER,6.875,0009-9236
EUR HEART J-CARD IMG,6.875,2047-2404
TRANSPORT RES E-LOG,6.875,1366-5545
ENERGY REP,6.87,2352-4847
DEVELOPMENT,6.868,0950-1991
CANCER-AM CANCER SOC,6.86,0008-543X
IEEE J-STSP,6.856,1932-4553
GEOSCI FRONT,6.853,1674-9871
J MANAGE ENG,6.853,0742-597X
BIOMATER SCI-UK,6.843,2047-4830
STEM CELL RES THER,6.832,****-****
ANN AM THORAC SOC,6.831,1546-3222
CELL PROLIFERAT,6.831,0960-7722
TRANSL STROKE RES,6.829,1868-4483
MECH SYST SIGNAL PR,6.823,0888-3270
PLOS PATHOG,6.823,1553-7366
CELL CALCIUM,6.817,0143-4160
INT REV CEL MOL BIO,6.813,1937-6448
CURR OPIN STRUC BIOL,6.809,0959-440X
INT J COAL GEOL,6.806,0166-5162
LAB CHIP,6.799,1473-0197
DIGIT COMMUN NETW,6.797,2468-5925
INFORM SCIENCES,6.795,0020-0255
ENVIRON RES LETT,6.793,1748-9326
HORTIC RES-ENGLAND,6.793,2662-6810
J ENVIRON MANAGE,6.789,0301-4797
CHINESE CHEM LETT,6.779,1001-8417
QUANTUM-AUSTRIA,6.777,2521-327X
INTERNET RES,6.773,1066-2243
CHEM REC,6.771,1527-8999
CATAL TODAY,6.766,0920-5861
COMPUT METHOD APPL M,6.756,0045-7825
J BEHAV ADDICT,6.756,2062-5871
ENG GEOL,6.755,0013-7952
AGING DIS,6.745,2152-5250
BIPOLAR DISORD,6.744,1398-5647
J BONE MINER RES,6.741,0884-0431
QUAL RES SPORT EXERC,6.736,2159-676X
CELL ONCOL,6.73,2211-3428
ROCK MECH ROCK ENG,6.73,0723-2632
APPL SOFT COMPUT,6.725,1568-4946
PROTEIN SCI,6.725,0961-8368
CANCER SCI,6.716,1347-9032
APPL SURF SCI,6.707,0169-4332
J ADV CERAM,6.707,2226-4108
MOL THER-METH CLIN D,6.698,****-****
CELL BIOL TOXICOL,6.691,0742-2091
BLOOD ADV,6.686,2473-9529
FRONT CELL DEV BIOL,6.684,2296-634X
TRENDS CARDIOVAS MED,6.677,1050-1738
EXPERT OPIN THER PAT,6.674,1354-3776
SURV GEOPHYS,6.673,0169-3298
EUR J ENDOCRINOL,6.664,0804-4643
IEEE T POWER SYST,6.663,0885-8950
J ADV MODEL EARTH SY,6.66,****-****
CURR FOR REP,6.656,2198-6436
EXPERT OPIN DRUG DEL,6.648,1742-5247
CANCERS,6.639,****-****
INT J BIOPRINTING,6.638,2424-7723
CURR OPIN NEUROBIOL,6.627,0959-4388
IEEE IND ELECTRON M,6.625,1932-4529
COMPOS COMMUN,6.617,2452-2139
EUR HEART J-CARD PHA,6.617,2055-6837
FUEL,6.609,0016-2361
TECHNOVATION,6.606,0166-4972
MOL ONCOL,6.603,1574-7891
CELLS-BASEL,6.6,****-****
CONTACT DERMATITIS,6.6,0105-1873
ASIAN J PHARM SCI,6.598,1818-0876
J ENERGY STORAGE,6.583,2352-152X
COMMUN CHEM,6.581,2399-3669
INT J BIOL SCI,6.58,1449-2288
LANDSLIDES,6.578,1612-510X
MRS BULL,6.578,0883-7694
DIABETES OBES METAB,6.577,1462-8902
FRONT NUTR,6.576,2296-861X
OSTEOARTHR CARTILAGE,6.576,1063-4584
THER ADV NEUROL DISO,6.57,1756-2856
INORG CHEM FRONT,6.569,2052-1553
CIRC-ARRHYTHMIA ELEC,6.568,1941-3149
THYROID,6.568,1050-7256
J BUS ECON STAT,6.565,0735-0015
CONSERV BIOL,6.56,0888-8892
ANAL CHIM ACTA,6.558,0003-2670
NEUROIMAGE,6.556,1053-8119
CLIN EPIGENETICS,6.551,1868-7075
ULTRASCHALL MED,6.548,0172-4614
CIRC-CARDIOVASC INTE,6.546,1941-7640
EPMA J,6.543,1878-5077
OXID MED CELL LONGEV,6.543,1942-0900
ESMO OPEN,6.54,****-****
CRIT REV ANAL CHEM,6.535,1040-8347
EUROINTERVENTION,6.534,1774-024X
BJOG-INT J OBSTET GY,6.531,1470-0328
BIOMED PHARMACOTHER,6.529,0753-3322
J APPL ECOL,6.528,0021-8901
ADDICTION,6.526,0965-2140
GIGASCIENCE,6.524,2047-217X
EUR J MED CHEM,6.514,0223-5234
REV ENDOCR METAB DIS,6.514,1389-9155
IEEE T MULTIMEDIA,6.513,1520-9210
BRAIN PATHOL,6.508,1015-6305
DEPRESS ANXIETY,6.505,1091-4269
ENVIRON RES,6.498,0013-9351
TRANSL LUNG CANCER R,6.498,2218-6751
MSYSTEMS,6.496,2379-5077
IEEE T INTELL TRANSP,6.492,1524-9050
J INTELL MANUF,6.485,0956-5515
MATER CHEM FRONT,6.482,****-****
FOOD REV INT,6.478,8755-9129
FOOD RES INT,6.475,0963-9969
J PHYS CHEM LETT,6.475,1948-7185
BREAST CANCER RES,6.466,1465-5411
DEV COGN NEUROS-NETH,6.464,1878-9293
NANOMED-NANOTECHNOL,6.458,1549-9634
CURR OPIN GREEN SUST,6.457,2452-2236
INT J BEHAV NUTR PHY,6.457,****-****
BUILD ENVIRON,6.456,0360-1323
CURR OPIN COLLOID IN,6.448,1359-0294
CLIN PHARMACOKINET,6.447,0312-5963
SCI DATA,6.444,****-****
J STAT SOFTW,6.44,1548-7660
J CLIN EPIDEMIOL,6.437,0895-4356
BIOL FERT SOILS,6.432,0178-2762
FOOD PACKAGING SHELF,6.429,2214-2894
ENERGY STRATEG REV,6.425,2211-467X
J MATERIOMICS,6.425,2352-8478
RESPIROLOGY,6.424,1323-7799
ANNU REV VIS SCI,6.422,2374-4642
DRUG DELIV,6.419,1071-7544
PLANT J,6.417,0960-7412
OPEN BIOL,6.411,****-****
IMMUN AGEING,6.4,1742-4933
INT J NANOMED,6.4,1178-2013
AM J SURG PATHOL,6.394,0147-5185
J TOXICOL ENV HEAL B,6.393,1093-7404
ACTA PSYCHIAT SCAND,6.392,0001-690X
J NANOSTRUCTURE CHEM,6.391,2008-9244
TISSUE ENG PART B-RE,6.389,1937-3368
J CELL PHYSIOL,6.384,0021-9541
ANIM NUTR,6.383,2405-6383
PEDIAT ALLERG IMM-UK,6.377,0905-6157
JACC-CLIN ELECTROPHY,6.375,2405-500X
CURR POLLUT REP,6.373,2198-6592
COMMUN PHYS-UK,6.368,2399-3650
SUSTAIN SCI,6.367,1862-4065
SUSTAIN ENERG FUELS,6.367,2398-4902
MOL MED,6.354,1076-1551
REGEN BIOMATER,6.353,2056-3418
ANN ALLERG ASTHMA IM,6.347,1081-1206
INT J ORAL SCI,6.344,1674-2818
HEART RHYTHM,6.343,1547-5271
J MATER CHEM B,6.331,2050-750X
PHARMACEUTICS,6.321,****-****
J MED GENET,6.318,0022-2593
J BIOMED INFORM,6.317,1532-0464
ANTIOXIDANTS-BASEL,6.312,****-****
CRIT REV ONCOL HEMAT,6.312,1040-8428
MULT SCLER J,6.312,1352-4585
ACTA PHYSIOL,6.311,1748-1708
EXERC IMMUNOL REV,6.308,1077-5552
EUROSURVEILLANCE,6.307,1025-496X
IMMUNE NETW,6.303,1598-2629
BIO-DES MANUF,6.302,2096-5524
HEALTH AFFAIR,6.301,0278-2715
REV CHEM ENG,6.299,0167-8299
P NUTR SOC,6.297,0029-6651
CEPHALALGIA,6.292,0333-1024
ECOTOX ENVIRON SAFE,6.291,0147-6513
REGION ANESTH PAIN M,6.288,1098-7339
J NETW COMPUT APPL,6.281,1084-8045
RADIOTHER ONCOL,6.28,0167-8140
STEM CELLS,6.277,1066-5099
ADV SUSTAIN SYST,6.271,2366-7486
COMMUN BIOL,6.268,****-****
ASTRON J,6.263,0004-6256
MOL CANCER THER,6.261,1535-7163
J ECOL,6.256,0022-0477
J PHOTOCH PHOTOBIO B,6.252,1011-1344
MED EDUC,6.251,0308-0110
CRIT REV CL LAB SCI,6.25,1040-8363
JACC-CARDIOONCOL,6.25,2666-0873
FRONT ONCOL,6.244,2234-943X
ADV CANCER RES,6.242,0065-230X
GISCI REMOTE SENS,6.238,1548-1603
PHILOS T R SOC B,6.237,0962-8436
EXERC SPORT SCI REV,6.23,0091-6331
IEEE T SOFTWARE ENG,6.226,0098-5589
JAMA OTOLARYNGOL,6.223,2168-6181
CHEM COMMUN,6.222,1359-7345
EPIDEMIOL REV,6.222,0193-936X
INFORM PROCESS MANAG,6.222,0306-4573
TRANSL PSYCHIAT,6.222,2158-3188
J MOL CELL BIOL,6.216,1674-2788
TRAFFIC,6.215,1398-9219
LIQ CRYST REV,6.214,2168-0396
ENG APPL ARTIF INTEL,6.212,0952-1976
TRAVEL MED INFECT DI,6.211,1477-8939
EXPERT OPIN INV DRUG,6.206,1354-3784
BIOL PSYCHIAT-COGN N,6.204,2451-9022
AM J SPORT MED,6.202,0363-5465
J CEREBR BLOOD F MET,6.2,0271-678X
INFORM SYST FRONT,6.191,1387-3326
RELIAB ENG SYST SAFE,6.188,0951-8320
J PSYCHIATR NEUROSCI,6.186,1180-4882
J ENERGY INST,6.186,1743-9671
MOL ECOL,6.185,0962-1083
J TELEMED TELECARE,6.184,1357-633X
IEEE-CAA J AUTOMATIC,6.171,2329-9266
FRICTION,6.167,2223-7690
J NEUROSCI,6.167,0270-6474
AM J CANCER RES,6.166,2156-6976
J EUR ACAD DERMATOL,6.166,0926-9959
J MOL LIQ,6.165,0167-7322
NONLINEAR ANAL-HYBRI,6.163,1751-570X
CLIN TRANSL IMMUNOL,6.161,****-****
PROCESS SAF ENVIRON,6.158,0957-5820
IEEE T POWER ELECTR,6.153,0885-8993
ACTA PHARMACOL SIN,6.15,1671-4083
HUM MOL GENET,6.15,0964-6906
BIOMARK RES,6.148,****-****
ADV MATER INTERFACES,6.147,2196-7350
IEEE T ENG MANAGE,6.146,0018-9391
ENERG POLICY,6.142,0301-4215
LANDSCAPE URBAN PLAN,6.142,0169-2046
CONSTR BUILD MATER,6.141,0950-0618
WIRES WATER,6.139,2049-1948
GEOSCI MODEL DEV,6.135,1991-959X
ATMOS CHEM PHYS,6.133,1680-7316
CLIN LIVER DIS,6.126,1089-3261
STRUCT EQU MODELING,6.125,1070-5511
CLIN SCI,6.124,0143-5221
CATAL SCI TECHNOL,6.119,2044-4753
DIABETES TECHNOL THE,6.118,1520-9156
J DENT RES,6.116,0022-0345
SEMIN LIVER DIS,6.115,0272-8087
GEODERMA,6.114,0016-7061
BIOFACTORS,6.113,0951-6433
J AM COLL SURGEONS,6.113,1072-7515
FORTSCHR PHYS,6.099,0015-8208
EXPERT OPIN DRUG DIS,6.098,1746-0441
SCIPOST PHYS,6.093,2542-4653
ANNU REV CONTROL,6.091,1367-5788
EUR J NEUROL,6.089,1351-5101
BIOMEDICINES,6.081,****-****
J FOOD DRUG ANAL,6.079,1021-9498
CLIN MOL HEPATOL,6.074,2287-2728
J INFECTION,6.072,0163-4453
CRISPR J,6.071,2573-1599
INT J SURG,6.071,1743-9191
PROG SURF SCI,6.071,0079-6816
J IND ENG CHEM,6.064,1226-086X
J GINSENG RES,6.06,1226-8453
TALANTA,6.057,0039-9140
CIRC-GENOM PRECIS ME,6.054,2574-8300
ELEMENTA-SCI ANTHROP,6.053,2325-1026
J GERONTOL A-BIOL,6.053,1079-5006
GONDWANA RES,6.051,1342-937X
FRONT CARDIOVASC MED,6.05,2297-055X
J NUTR BIOCHEM,6.048,0955-2863
SURV OPHTHALMOL,6.048,0039-6257
HEPATOL INT,6.047,1936-0533
ALTEX-ALTERN ANIM EX,6.043,1868-596X
DIABETES METAB,6.041,1262-3636
BIOTECHNOL BIOFUELS,6.04,****-****
SCI CHINA LIFE SCI,6.038,1674-7305
CURR OPIN FOOD SCI,6.031,2214-7993
INT SOIL WATER CONSE,6.027,2095-6339
ACS APPL ENERG MATER,6.024,2574-0962
FOOD CHEM TOXICOL,6.023,0278-6915
INVEST RADIOL,6.016,0020-9996
ELECTRON COMMER R A,6.014,1567-4223
J CHEM THEORY COMPUT,6.006,1549-9618
ORG LETT,6.005,1523-7060
CHINESE J CHEM,6,1001-604X
EUR UROL FOCUS,5.996,****-****
NEUROBIOL DIS,5.996,0969-9961
HEART,5.994,1355-6037
QUANTUM SCI TECHNOL,5.994,2058-9565
ECOGRAPHY,5.992,0906-7590
NEPHROL DIAL TRANSPL,5.992,0931-0509
BIOL CONSERV,5.99,0006-3207
CANCER GENE THER,5.987,0929-1903
DIALOGUES CLIN NEURO,5.986,1294-8322
MACROMOLECULES,5.985,0024-9297
ENVIRON HEALTH-GLOB,5.984,****-****
INFECT DIS CLIN N AM,5.982,0891-5520
IEEE T VEH TECHNOL,5.978,0018-9545
CLIN ORAL IMPLAN RES,5.977,0905-7161
ANTIVIR RES,5.97,0166-3542
J PHYS-ENERGY,5.967,2515-7655
ANAT SCI EDUC,5.958,1935-9772
J CLIN ENDOCR METAB,5.958,0021-972X
J NUCL CARDIOL,5.952,1071-3581
J CLIN MICROBIOL,5.948,0095-1137
AUTOMATICA,5.944,0005-1098
CHAOS SOLITON FRACT,5.944,0960-0779
IEEE T CLOUD COMPUT,5.938,2168-7161
SEMIN RADIAT ONCOL,5.934,1053-4296
INT J APPL EARTH OBS,5.933,1569-8432
STRUCT HEALTH MONIT,5.929,1475-9217
INT J MOL SCI,5.923,****-****
MULTIVAR BEHAV RES,5.923,0027-3171
J LIPID RES,5.922,0022-2275
J PEST SCI,5.918,1612-4758
APPL SPECTROSC REV,5.917,0570-4928
PLOS GENET,5.917,1553-7404
INNOV FOOD SCI EMERG,5.916,1466-8564
TUNN UNDERGR SP TECH,5.915,0886-7798
MOL NUTR FOOD RES,5.914,1613-4125
NANOTOXICOLOGY,5.913,1743-5390
MOL CELL PROTEOMICS,5.911,1535-9476
J ENVIRON CHEM ENG,5.909,****-****
HUM-CENT COMPUT INFO,5.9,****-****
MEMET COMPUT,5.9,1865-9284
NPJ MAT DEGRAD,5.9,****-****
BIOSTATISTICS,5.899,1465-4644
ENVIRON SCI EUR,5.893,2190-4707
REV FISH SCI AQUAC,5.893,2330-8249
AGING MALE,5.892,1368-5538
FRONT BIOENG BIOTECH,5.89,2296-4185
HEADACHE,5.887,0017-8748
CIRC-CARDIOVASC QUAL,5.882,1941-7705
VIRULENCE,5.882,2150-5594
ENERG BUILDINGS,5.879,0378-7788
PHYTOTHER RES,5.878,0951-418X
J TAIWAN INST CHEM E,5.876,1876-1070
INT J PHARMACEUT,5.875,0378-5173
ASTROPHYS J,5.874,0004-637X
CLIN TRANSL ALLERGY,5.871,****-****
INT J NEURAL SYST,5.866,0129-0657
EPILEPSIA,5.864,0013-9580
PHARMACEUTICALS-BASE,5.863,****-****
J COMPUT DES ENG,5.86,****-****
BIOCHEM PHARMACOL,5.858,0006-2952
MABS-AUSTIN,5.857,1942-0862
ACTA GEOTECH,5.856,1861-1125
BONE JOINT RES,5.853,2046-3758
MOL CANCER RES,5.852,1541-7786
SLEEP,5.849,0161-8105
ECONOMETRICA,5.844,0012-9682
SOIL-GERMANY,5.841,2199-3971
INT J HYG ENVIR HEAL,5.84,1438-4639
J COSMOL ASTROPART P,5.839,1475-7516
ADV SYNTH CATAL,5.837,1615-4150
INT J NURS STUD,5.837,0020-7489
ALLERGOL INT,5.836,1323-8930
J NEUROINTERV SURG,5.836,1759-8478
MICROCHIM ACTA,5.833,0026-3672
AGRON SUSTAIN DEV,5.832,1774-0746
J HEPATOCELL CARCINO,5.828,****-****
LIVER INT,5.828,1478-3223
J INF TECHNOL-UK,5.824,0268-3962
J THROMB HAEMOST,5.824,1538-7933
J PAIN,5.82,1526-5900
INT J HYDROGEN ENERG,5.816,0360-3199
J FUNGI,5.816,****-****
NEUROL THER,5.814,2193-8253
WIRES DEV BIOL,5.814,1759-7684
MICROB BIOTECHNOL,5.813,1751-7915
ANNU REV STAT APPL,5.81,2326-8298
FRONT PHARMACOL,5.81,1663-9812
J HIGH ENERGY PHYS,5.81,1029-8479
BIODRUGS,5.807,1173-8804
ASTRON ASTROPHYS,5.802,0004-6361
LIVER TRANSPLANT,5.799,1527-6465
DECIS SUPPORT SYST,5.795,0167-9236
IEEE T AUTOMAT CONTR,5.792,0018-9286
J ANTIMICROB CHEMOTH,5.79,0305-7453
PHARMACOPSYCHIATRY,5.788,0176-3679
CELL MOL BIOL LETT,5.787,1425-8153
J CELL COMMUN SIGNAL,5.782,1873-9601
VASC PHARMACOL,5.773,1537-1891
AM J SCI,5.772,0002-9599
IEEE J BIOMED HEALTH,5.772,2168-2194
CRYOSPHERE,5.771,1994-0416
INDOOR AIR,5.77,0905-6947
ALLERGY ASTHMA IMMUN,5.764,2092-7355
CANNABIS CANNABINOID,5.764,2578-5125
DIS MODEL MECH,5.758,1754-8403
FOOD ENG REV,5.758,1866-7910
FRONT PLANT SCI,5.753,1664-462X
HELICOBACTER,5.753,1083-4389
FRONT AGING NEUROSCI,5.75,1663-4365
CNS DRUGS,5.749,1172-7047
HYDROL EARTH SYST SC,5.748,1027-5606
ARCH DIS CHILD-FETAL,5.747,1359-2998
AUST NZ J PSYCHIAT,5.744,0004-8674
BIOL BLOOD MARROW TR,5.742,1083-8791
SOL ENERGY,5.742,0038-092X
WORLD J GASTROENTERO,5.742,1007-9327
STEM CELL REV REP,5.739,2629-3269
GENOMICS,5.736,0888-7543
AGR FOREST METEOROL,5.734,0168-1923
MACROMOL RAPID COMM,5.734,1022-1336
STEEL COMPOS STRUCT,5.733,1229-9367
URBAN CLIM,5.731,2212-0955
PAIN THER,5.725,2193-8237
VALUE HEALTH,5.725,1098-3015
CANCER CELL INT,5.722,****-****
J HYDROL,5.722,0022-1694
ANN EMERG MED,5.721,0196-0644
NEUROCOMPUTING,5.719,0925-2312
NUTRIENTS,5.717,****-****
NEOPLASIA,5.715,1476-5586
CELL COMMUN SIGNAL,5.712,****-****
J CARD FAIL,5.712,1071-9164
CURR OPIN NEUROL,5.71,1350-7540
APPL CATAL A-GEN,5.706,0926-860X
LUNG CANCER,5.705,0169-5002
GLOBAL BIOGEOCHEM CY,5.703,0886-6236
THEOR APPL GENET,5.699,0040-5752
HUM GENE THER,5.695,1043-0342
ADV COMPOS HYBRID MA,5.693,2522-0128
ANN NY ACAD SCI,5.691,0077-8923
CHEMCATCHEM,5.686,1867-3880
INT COMMUN HEAT MASS,5.683,0735-1933
AGING-US,5.682,1945-4589
PROG SOLID STATE CH,5.682,0079-6786
ARTIF CELL NANOMED B,5.678,2169-1401
ENDOCR-RELAT CANCER,5.678,1351-0088
APL PHOTONICS,5.672,2378-0967
INT J PR ENG MAN-GT,5.671,2288-6206
ROBOT CIM-INT MANUF,5.666,0736-5845
MOL PLANT PATHOL,5.663,1464-6722
LAB INVEST,5.662,0023-6837
MUTAT RES-REV MUTAT,5.657,1383-5742
CLIM SERV,5.656,2405-8807
INT J ONCOL,5.65,1019-6439
IND CROP PROD,5.645,0926-6690
FRONT MICROBIOL,5.64,1664-302X
FRONT MOL NEUROSCI,5.639,1662-5099
J PATHOL CLIN RES,5.638,****-****
CRIT REV TOXICOL,5.635,1040-8444
IEEE MULTIMEDIA,5.633,1070-986X
RESP RES,5.631,****-****
ENDOSC ULTRASOUND,5.628,2303-9027
ENTOMOL GEN,5.625,0171-8177
EUR J NUTR,5.614,1436-6207
BIOL RES,5.612,0716-9760
SCRIPTA MATER,5.611,1359-6462
FUNCT ECOL,5.608,0269-8463
DRUG SAFETY,5.606,0114-5916
NEURAL COMPUT APPL,5.606,0941-0643
