"issn","jfull","jabbr","impact"
"0001-8724","Shinkei kenkyu no shimpo. Advances in neurological sciences","Shinkei Kenkyu No Shimpo",NA
"0270-3106","Advances in alcohol & substance abuse","Adv Alcohol Subst Abuse",NA
"0065-3004","Advances in ophthalmology = Fortschritte der Augenheilkunde = Progres en ophtalmologie","Adv Ophthalmol",NA
"0065-3020","Advances in oral biology","Adv Oral Biol",NA
"0065-3071","Advances in oto-rhino-laryngology","Adv Otorhinolaryngol",NA
"1662-2847","Advances in oto-rhino-laryngology","Adv Otorhinolaryngol",NA
"0361-5952","Advances in prostaglandin and thromboxane research","Adv Prostaglandin Thromboxane Res",NA
"0065-308X","Advances in parasitology","Adv Parasitol",3.87
"2163-6079","Advances in parasitology","Adv Parasitol",NA
"0099-1147","Advances in pathobiology","Adv Pathobiol",NA
"0065-3101","Advances in pediatrics","Adv Pediatr",NA
"1878-1926","Advances in pediatrics","Adv Pediatr",NA
"0568-0107","Advances in pest control research","Adv Pest Control Res",NA
"0065-3136","Advances in pharmaceutical sciences","Adv Pharm Sci",NA
"0065-3144","Advances in pharmacology and chemotherapy","Adv Pharmacol Chemother",NA
"0260-647X","Adverse drug reactions and acute poisoning reviews","Adverse Drug React Acute Poisoning Rev",NA
"0065-3233","Advances in protein chemistry","Adv Protein Chem",NA
"1557-8941","Advances in protein chemistry","Adv Protein Chem",NA
"0732-8141","Advances in prostaglandin, thromboxane, and leukotriene research","Adv Prostaglandin Thromboxane Leukot Res",NA
"0065-3241","Advances in psychobiology","Adv Psychobiol",NA
"0065-3268","Advances in psychosomatic medicine","Adv Psychosom Med",NA
"1662-2855","Advances in psychosomatic medicine","Adv Psychosom Med",NA
"0001-866X","Advancement of science","Adv Sci",NA
"0065-339X","Advances in steroid biochemistry and pharmacology","Adv Steroid Biochem Pharmacol",NA
"0065-3411","Advances in surgery","Adv Surg",NA
"1878-0555","Advances in surgery","Adv Surg",NA
"0065-3322","Advances in reproductive physiology","Adv Reprod Physiol",NA
"0065-3497","Advances in tracer methodology","Adv Tracer Methodol",NA
"0098-0137","Advances in sex hormone research","Adv Sex Horm Res",NA
"0092-9816","Advances in socio-dental research","Adv Sociodent Res",NA
"0065-3500","Advances in tuberculosis research. Fortschritte der Tuberkuloseforschung. Progres de l'exploration de la tuberculose","Adv Tuberc Res",NA
"0065-3519","Advances in veterinary science and comparative medicine","Adv Vet Sci Comp Med",NA
"0195-878X","Advances in shock research","Adv Shock Res",NA
"0065-3527","Advances in virus research","Adv Virus Res",9.937
"1557-8399","Advances in virus research","Adv Virus Res",NA
"0065-3683","Aeromedical reviews","Aeromed Rev",NA
"0001-9402","Aerospace medicine","Aerosp Med",NA
"0001-9496","Arztliche Forschung","Arztl Forsch",NA
"0001-9518","Arztliche Jugendkunde","Arztl Jugendkd",NA
"0400-6755","Asthetische Medizin","Asthet Med (Berl)",NA
"0364-216X","Aesthetic plastic surgery","Aesthetic Plast Surg",2.326
"1432-5241","Aesthetic plastic surgery","Aesthetic Plast Surg",NA
"0149-2489","The AFL-CIO American federationist. AFL-CIO","AFL CIO Am Fed",NA
"0002-0028","The African journal of medical sciences","Afr J Med Sci",NA
"0194-455X","Aging & leisure living","Aging Leis Living",NA
"0002-0729","Age and ageing","Age Ageing",10.668
"1468-2834","Age and ageing","Age Ageing",NA
"0002-0966","Aging","Aging",NA
"0065-4299","Agents and actions","Agents Actions",NA
"0002-0907","Aggiornamenti clinicoterapeutici","Aggiorn Clinico Ter",NA
"0379-0363","Agents and actions. Supplements","Agents Actions Suppl",NA
"0944-9175","Die Agnes Karll-Schwester, der Krankenpfleger","Agnes Karll Schwest Krankenpfleger",NA
"0002-1148","Agressologie: revue internationale de physio-biologie et de pharmacologie appliquees aux effets de l'agression","Agressologie",NA
"0044-6912","Aichi Gakuin Daigaku Shigakkai shi","Aichi Gakuin Daigaku Shigakkai Shi",NA
"0568-3408","Air and water pollution","Air Water Pollut",NA
"0300-5704","Aktuelle Gerontologie","Aktuelle Gerontol",NA
"0065-5570","Aktuelle Oto-Rhino-Laryngologie","Aktuelle Otorhinolaryngol",NA
"0196-0709","American journal of otolaryngology","Am J Otolaryngol",1.808
"1532-818X","American journal of otolaryngology","Am J Otolaryngol",NA
"0065-5589","Aktuelle Probleme in der Chirurgie","Aktuelle Probl Chir",NA
"0378-8504","Aktuelle Probleme in Chirurgie und Orthopadie","Aktuelle Probl Chir Orthop",NA
"0065-2008","Adolescent psychiatry","Adolesc Psychiatry",NA
"0300-9092","Akusherstvo i ginekologiia","Akush Ginekol (Mosk)",NA
"2412-5679","Akusherstvo i ginekologiia","Akush Ginekol (Mosk)",NA
"0324-0959","Akusherstvo i ginekologiia","Akush Ginekol (Sofiia)",NA
"0002-4252","The Alabama journal of medical sciences","Ala J Med Sci",NA
"0387-7604","Brain & development","Brain Dev",1.961
"1872-7131","Brain & development","Brain Dev",NA
"0002-4317","The Alabama nurse","Ala Nurse",NA
"0279-9529","American College of Physicians observer","Am Coll Physicians Obs",NA
"0098-3764","Bulletin - Alameda County Dental Society","Bull Alameda Cty Dent Soc",NA
"0192-8562","The American journal of pediatric hematology/oncology","Am J Pediatr Hematol Oncol",NA
"0002-4538","Alaska medicine","Alaska Med",NA
"0193-1091","The American Journal of dermatopathology","Am J Dermatopathol",1.533
"1533-0311","The American Journal of dermatopathology","Am J Dermatopathol",NA
"0002-4546","The Alaska nurse","Alaska Nurse",NA
"0145-6008","Alcoholism, clinical and experimental research","Alcohol Clin Exp Res",3.455
"1530-0277","Alcoholism, clinical and experimental research","Alcohol Clin Exp Res",NA
"0065-6100","Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology","Albrecht Von Graefes Arch Klin Exp Ophthalmol",NA
"1110-015X","Alexandria dental journal : ADJ","Alex Dent J",NA
"0065-6267","L' Alimentation et la vie","Aliment Vie",NA
"0160-9963","Applied radiology","Appl Radiol",NA
"0375-8443","Allergie und Asthma","Allerg Asthma (Leipz)",NA
"0105-4538","Allergy","Allergy",13.146
"1398-9995","Allergy","Allergy",NA
"0516-7132","Allergie- und Asthmaforschung","Allerg Asthmaforsch",NA
"0323-4398","Allergie und Immunologie","Allerg Immunol (Leipz)",NA
"0190-0331","Allied health and behavioral sciences","Allied Health Behav Sci",NA
"0090-7782","AHME journal","AHME J",NA
"0361-803X","AJR. American journal of roentgenology","AJR Am J Roentgenol",3.959
"1546-3141","AJR. American journal of roentgenology","AJR Am J Roentgenol",NA
"0001-1479","AIA journal. American Institute of Architects","AIA J",NA
"0195-6108","AJNR. American journal of neuroradiology","AJNR Am J Neuroradiol",3.825
"1936-959X","AJNR. American journal of neuroradiology","AJNR Am J Neuroradiol",NA
"0301-0546","Allergologia et immunopathologia","Allergol Immunopathol (Madr)",1.667
"1578-1267","Allergologia et immunopathologia","Allergol Immunopathol (Madr)",NA
"0090-838X","Alcohol health and research world","Alcohol Health Res World",NA
"0738-4947","Alabama medicine : journal of the Medical Association of the State of Alabama","Ala Med",NA
"0065-6445","The Alma mater","Alma Mater (Baltimore)",NA
"0002-6417","The Alpha omegan","Alpha Omegan",NA
"0084-6252","Altern und Entwicklung. Aging and development","Altern Entwickl Aging Dev",NA
"0002-6700","The Alumnae magazine","Alumnae Mag",NA
"0069-634X","Alumnae magazine (Columbia University-Presbyterian Hospital School of Nursing Alumnae Association)","Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc",NA
"0073-7119","Alumni bulletin - School of Dentistry, Indiana University","Alumni Bull Sch Dent Indiana Univ",NA
"0887-4387","Alumni bulletin. University of Michigan. School of Dentistry","Alumni Bull Univ Mich Sch Dent",NA
"0898-4093","Alumni magazine (Columbia University-Presbyterian Hospital School of Nursing Alumni Association)","Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc",NA
"0002-7642","The American behavioral scientist","Am Behav Sci",NA
"1552-3381","The American behavioral scientist","Am Behav Sci",NA
"0002-726X","American annals of the deaf","Am Ann Deaf",NA
"0002-7324","American archives of rehabilitation therapy","Am Arch Rehabil Ther",NA
"0098-6097","American Association of Industrial Nurses journal","Am Assoc Ind Nurses J",NA
"0002-8088","American corrective therapy journal","Am Correct Ther J",NA
"0002-838X","American family physician","Am Fam Physician",3.292
"1532-0650","American family physician","Am Fam Physician",NA
"0002-8703","American heart journal","Am Heart J",4.749
"1097-6744","American heart journal","Am Heart J",NA
"0160-3450","American pharmacy","Am Pharm",NA
"0362-4048","American rehabilitation","Am Rehabil",NA
"0065-860X","The American imago; a psychoanalytic journal for the arts and sciences","Am Imago",NA
"1085-7931","The American imago; a psychoanalytic journal for the arts and sciences","Am Imago",NA
"0007-4764","American journal of art therapy","Am J Art Ther",NA
"0002-8894","American Industrial Hygiene Association journal","Am Ind Hyg Assoc J",NA
"0002-8304","American education","Am Educ",NA
"0098-6119","Annual meeting - American Institute of Oral Biology","Annu Meet Am Inst Oral Biol",NA
"0002-9106","The American journal of anatomy","Am J Anat",NA
"0002-9122","American journal of botany","Am J Bot",3.844
"1537-2197","American journal of botany","Am J Bot",NA
"0002-9149","The American journal of cardiology","Am J Cardiol",2.778
"1879-1913","The American journal of cardiology","Am J Cardiol",NA
"0090-2942","The American journal of Chinese medicine","Am J Chin Med (Gard City N Y)",NA
"0192-415X","The American journal of Chinese medicine","Am J Chin Med",4.667
"1793-6853","The American journal of Chinese medicine","Am J Chin Med",NA
"0002-9157","The American journal of clinical hypnosis","Am J Clin Hypn",NA
"2160-0562","The American journal of clinical hypnosis","Am J Clin Hypn",NA
"0002-9165","The American journal of clinical nutrition","Am J Clin Nutr",7.045
"1938-3207","The American journal of clinical nutrition","Am J Clin Nutr",NA
"0277-3732","American journal of clinical oncology","Am J Clin Oncol",2.339
"1537-453X","American journal of clinical oncology","Am J Clin Oncol",NA
"0002-9173","American journal of clinical pathology","Am J Clin Pathol",2.493
"1943-7722","American journal of clinical pathology","Am J Clin Pathol",NA
"0091-0562","American journal of community psychology","Am J Community Psychol",NA
"1573-2770","American journal of community psychology","Am J Community Psychol",NA
"0889-5406","American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics","Am J Orthod Dentofacial Orthop",2.65
"1097-6752","American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics","Am J Orthod Dentofacial Orthop",NA
"0002-9211","The American journal of digestive diseases","Am J Dig Dis",NA
"0002-9246","American journal of economics and sociology","Am J Econ Sociol",NA
"0002-922X","American journal of diseases of children (1960)","Am J Dis Child",NA
"2374-3018","American journal of diseases of children (1960)","Am J Dis Child",NA
"0095-2990","The American journal of drug and alcohol abuse","Am J Drug Alcohol Abuse",3.829
"1097-9891","The American journal of drug and alcohol abuse","Am J Drug Alcohol Abuse",NA
"0002-9262","American journal of epidemiology","Am J Epidemiol",4.897
"1476-6256","American journal of epidemiology","Am J Epidemiol",NA
"0361-8609","American journal of hematology","Am J Hematol",10.047
"1096-8652","American journal of hematology","Am J Hematol",NA
"0272-6386","American journal of kidney diseases : the official journal of the National Kidney Foundation","Am J Kidney Dis",8.86
"1523-6838","American journal of kidney diseases : the official journal of the National Kidney Foundation","Am J Kidney Dis",NA
"0363-7719","American journal of health planning","Am J Health Plann",NA
"0195-7910","The American journal of forensic medicine and pathology","Am J Forensic Med Pathol",0.921
"1533-404X","The American journal of forensic medicine and pathology","Am J Forensic Med Pathol",NA
"0002-9270","The American journal of gastroenterology","Am J Gastroenterol",10.864
"1572-0241","The American journal of gastroenterology","Am J Gastroenterol",NA
"0002-9289","American journal of hospital pharmacy","Am J Hosp Pharm",NA
"0002-9297","American journal of human genetics","Am J Hum Genet",11.025
"1537-6605","American journal of human genetics","Am J Hum Genet",NA
"0271-3586","American journal of industrial medicine","Am J Ind Med",2.214
"1097-0274","American journal of industrial medicine","Am J Ind Med",NA
"0098-8588","American journal of law & medicine","Am J Law Med",NA
"0002-9343","The American journal of medicine","Am J Med",4.965
"1555-7162","The American journal of medicine","Am J Med",NA
"0096-5286","The American journal of medical electronics","Am J Med Electron",NA
"0002-9629","The American journal of the medical sciences","Am J Med Sci",2.378
"1538-2990","The American journal of the medical sciences","Am J Med Sci",NA
"0148-7299","American journal of medical genetics","Am J Med Genet",NA
"1096-8628","American journal of medical genetics","Am J Med Genet",NA
"0002-9335","The American journal of medical technology","Am J Med Technol",NA
"0002-9351","American journal of mental deficiency","Am J Ment Defic",NA
"0250-8095","American journal of nephrology","Am J Nephrol",3.754
"1421-9670","American journal of nephrology","Am J Nephrol",NA
"0002-936X","The American journal of nursing","Am J Nurs",2.22
"1538-7488","The American journal of nursing","Am J Nurs",NA
"0002-9378","American journal of obstetrics and gynecology","Am J Obstet Gynecol",8.661
"1097-6868","American journal of obstetrics and gynecology","Am J Obstet Gynecol",NA
"0272-9490","The American journal of occupational therapy : official publication of the American Occupational Therapy Association","Am J Occup Ther",NA
"1943-7676","The American journal of occupational therapy : official publication of the American Occupational Therapy Association","Am J Occup Ther",NA
"0002-9394","American journal of ophthalmology","Am J Ophthalmol",5.258
"1879-1891","American journal of ophthalmology","Am J Ophthalmol",NA
"0002-9408","American journal of optometry and archives of American Academy of Optometry","Am J Optom Arch Am Acad Optom",NA
"2330-9474","American journal of optometry and archives of American Academy of Optometry","Am J Optom Arch Am Acad Optom",NA
"0093-7002","American journal of optometry and physiological optics","Am J Optom Physiol Opt",NA
"2330-9512","American journal of optometry and physiological optics","Am J Optom Physiol Opt",NA
"0002-9416","American journal of orthodontics","Am J Orthod",NA
"0065-9002","The American journal of orthopedic surgery","Am J Orthop Surg",NA
"0002-9432","The American journal of orthopsychiatry","Am J Orthopsychiatry",NA
"1939-0025","The American journal of orthopsychiatry","Am J Orthopsychiatry",NA
"0192-9763","The American journal of otology","Am J Otol",NA
"0002-9459","American journal of pharmaceutical education","Am J Pharm Educ",2.047
"1553-6467","American journal of pharmaceutical education","Am J Pharm Educ",NA
"0002-9440","The American journal of pathology","Am J Pathol",4.307
"1525-2191","The American journal of pathology","Am J Pathol",NA
"0002-9467","American journal of pharmacy and the sciences supporting public health","Am J Pharm Sci Support Public Health",NA
"0002-9483","American journal of physical anthropology","Am J Phys Anthropol",2.868
"1096-8644","American journal of physical anthropology","Am J Phys Anthropol",NA
"0002-9491","American journal of physical medicine","Am J Phys Med",NA
"0002-9513","The American journal of physiology","Am J Physiol",NA
"2163-5773","The American journal of physiology","Am J Physiol",NA
"0569-6054","American journal of practical nursing","Am J Pract Nurs",NA
"0002-9521","American journal of proctology","Am J Proctol",NA
"0162-6566","American journal of proctology, gastroenterology & colon & rectal surgery","Am J Proctol Gastroenterol Colon Rectal Surg",NA
"0002-953X","The American journal of psychiatry","Am J Psychiatry",18.112
"1535-7228","The American journal of psychiatry","Am J Psychiatry",NA
"0002-9548","American journal of psychoanalysis","Am J Psychoanal",NA
"1573-6741","American journal of psychoanalysis","Am J Psychoanal",NA
"0002-9556","The American journal of psychology","Am J Psychol",NA
"1939-8298","The American journal of psychology","Am J Psychol",NA
"0002-9564","American journal of psychotherapy","Am J Psychother",NA
"2575-6559","American journal of psychotherapy","Am J Psychother",NA
"0090-0036","American journal of public health","Am J Public Health",9.308
"1541-0048","American journal of public health","Am J Public Health",NA
"8755-8920","American journal of reproductive immunology and microbiology : AJRIM","Am J Reprod Immunol Microbiol",NA
"2374-8192","American journal of reproductive immunology and microbiology : AJRIM","Am J Reprod Immunol Microbiol",NA
"0002-9580","The American journal of roentgenology, radium therapy, and nuclear medicine","Am J Roentgenol Radium Ther Nucl Med",NA
